epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2670.3,1.3639,1.73764,1.57786,0.59276,0.64105,0.63208,0.41967,1.39659,1.46153,1.64513,0.000151635,0.000151635,0.000151635
2,5293.05,1.33338,1.70388,1.54019,0.58321,0.64385,0.63592,0.40918,1.39392,1.50624,1.6449,0.000288288,0.000288288,0.000288288
3,7911.49,1.32274,1.69194,1.53682,0.60391,0.65629,0.65708,0.44062,1.3531,1.58538,1.61578,0.000409926,0.000409926,0.000409926
4,10526.3,1.30414,1.64576,1.51806,0.60636,0.67319,0.65557,0.4341,1.34121,1.39631,1.60931,0.000387433,0.000387433,0.000387433
5,13145.5,1.27345,1.55799,1.49216,0.61867,0.64692,0.66527,0.44715,1.33004,1.35991,1.58736,0.00036491,0.00036491,0.00036491
6,15770.9,1.228,1.46292,1.45983,0.63492,0.65457,0.69348,0.47055,1.30012,1.30819,1.55854,0.000342387,0.000342387,0.000342387
7,18398.2,1.2019,1.40811,1.44063,0.66966,0.67718,0.71227,0.48204,1.28921,1.26276,1.54125,0.000319865,0.000319865,0.000319865
8,21023.8,1.17814,1.34219,1.42227,0.70156,0.68672,0.72833,0.49793,1.26198,1.20034,1.51462,0.000297342,0.000297342,0.000297342
9,23649.7,1.14818,1.30042,1.39996,0.70016,0.69784,0.73477,0.50417,1.25085,1.20025,1.49091,0.00027482,0.00027482,0.00027482
10,26285.2,1.12331,1.2408,1.38403,0.6871,0.70518,0.74428,0.50927,1.23058,1.1657,1.47542,0.000252298,0.000252298,0.000252298
11,28910.4,1.00829,0.92946,1.32937,0.68481,0.6829,0.72681,0.49871,1.24943,1.21616,1.47601,0.000229775,0.000229775,0.000229775
12,31546.4,0.96039,0.86298,1.28428,0.72167,0.68726,0.74405,0.51265,1.23733,1.15509,1.48379,0.000207252,0.000207252,0.000207252
13,34181.5,0.93242,0.80015,1.26897,0.69799,0.71431,0.74668,0.50819,1.24108,1.13359,1.49414,0.00018473,0.00018473,0.00018473
14,36807.7,0.88896,0.74922,1.23012,0.72507,0.67849,0.74338,0.51565,1.23596,1.1599,1.49288,0.000162207,0.000162207,0.000162207
15,39448.7,0.85293,0.70022,1.20653,0.72101,0.68072,0.74741,0.52234,1.24136,1.1526,1.49079,0.000139685,0.000139685,0.000139685
16,42091.7,0.81071,0.64791,1.18045,0.71417,0.67196,0.73337,0.50556,1.26944,1.18638,1.51318,0.000117163,0.000117163,0.000117163
17,44732.1,0.77998,0.60685,1.1578,0.70696,0.6816,0.73821,0.51331,1.25288,1.1717,1.49981,9.464e-05,9.464e-05,9.464e-05
18,47365.3,0.7375,0.57003,1.13188,0.68634,0.69907,0.73558,0.51301,1.24969,1.19557,1.49822,7.21175e-05,7.21175e-05,7.21175e-05
19,50006.5,0.70452,0.53445,1.11042,0.71508,0.67387,0.73237,0.51304,1.25247,1.21187,1.51326,4.9595e-05,4.9595e-05,4.9595e-05
20,52629.3,0.67226,0.50538,1.09128,0.71739,0.66901,0.72983,0.51114,1.24983,1.21557,1.51051,2.70725e-05,2.70725e-05,2.70725e-05
